imdb.id,award.institution,imdb.event.id,award.imdb.year,awards.nom.win,award,award.category,award.person,imdb.name.id
tt0046268,Berlin International Film Festival,ev0000091,1953,Winner,Golden Berlin Bear,,Henri-Georges Clouzot,nm0167241
tt0046268,Blue Ribbon Awards,ev0001006,1955,Winner,Blue Ribbon Award,Best Foreign Language Film,Henri-Georges Clouzot,nm0167241
tt0046268,Cannes Film Festival,ev0000147,1953,Winner,Grand Prize of the Festival,,Henri-Georges Clouzot,nm0167241
tt0046268,Cannes Film Festival,ev0000147,1953,Winner,Special Mention,,Charles Vanel,nm0889024
tt0046268,French Syndicate of Cinema Critics,ev0000263,1954,Winner,Critics Award,Best Film,Henri-Georges Clouzot,nm0167241
tt0046478,"Academy Awards, USA",ev0000003,1956,Nominee,Oscar,"Best Costume Design, Black-and-White",Tadaoto Kainoshô,nm0435082
tt0046478,Cahiers du Cinéma,ev0009300,1959,Winner,Top 10 Film Award,Best Film,Kenji Mizoguchi,nm0003226
tt0046478,Mainichi Film Concours,ev0001002,1954,Winner,Mainichi Film Concours,Best Art Direction,Kisaku Itô,nm0411713
tt0046478,Mainichi Film Concours,ev0001002,1954,Winner,Mainichi Film Concours,Best Sound Recording,Iwao Ôtani,nm0652735
tt0046478,Venice Film Festival,ev0000681,1953,Winner,Pasinetti Award,,Kenji Mizoguchi,nm0003226
tt0046478,Venice Film Festival,ev0000681,1953,Winner,Silver Lion,,Kenji Mizoguchi,nm0003226
tt0046478,Venice Film Festival,ev0000681,1953,Nominee,Golden Lion,,Kenji Mizoguchi,nm0003226
tt0046912,BAFTA Awards,ev0000123,1955,Nominee,BAFTA Film Award,Best Foreign Actress,Grace Kelly,nm0000038
tt0046912,Bambi Awards,ev0000078,1955,Nominee,Bambi,Best Actress - International,Grace Kelly,nm0000038
tt0046912,"Directors Guild of America, USA",ev0000212,1955,Nominee,DGA Award,Outstanding Directorial Achievement in Motion Pictures,Alfred Hitchcock,nm0000033
tt0046912,"National Board of Review, USA",ev0000464,1954,Winner,NBR Award,Best Actress,Grace Kelly,nm0000038
tt0046912,"National Board of Review, USA",ev0000464,1954,Winner,NBR Award,Best Supporting Actor,John Williams,nm0002369
tt0046912,New York Film Critics Circle Awards,ev0000484,1954,Winner,NYFCC Award,Best Actress,Grace Kelly,nm0000038
tt0048261,Cahiers du Cinéma,ev0009300,1955,Nominee,Top 10 Film Award,Best Film,Robert Aldrich,nm0000736
tt0048261,"National Film Preservation Board, USA",ev0000468,1999,Winner,National Film Registry,,,
tt0048275,Cannes Film Festival,ev0000147,1956,Nominee,Palme d'Or,,Zoltán Fábri,nm0299586
tt0049150,Cannes Film Festival,ev0000147,1957,Winner,Best Actor,,John Kitzmiller,nm0457839
tt0049150,Cannes Film Festival,ev0000147,1957,Nominee,Palme d'Or,,France Stiglic,nm0830150
tt0052100,"National Film Preservation Board, USA",ev0000468,1996,Winner,National Film Registry,,,
tt0054073,Cahiers du Cinéma,ev0009300,1990,Nominee,Top 10 Film Award,Best Film,Ritwik Ghatak,nm0315547
tt0054248,BAFTA Awards,ev0000123,1962,Nominee,BAFTA Film Award,Best Film from any Source,,
tt0054248,BAFTA Awards,ev0000123,1962,Nominee,BAFTA Film Award,Best Foreign Actress,Annie Girardot,nm0320760
tt0054248,Bodil Awards,ev0000107,1962,Winner,Bodil,Best European Film (Bedste europæiske film),Luchino Visconti,nm0899581
tt0054248,Cahiers du Cinéma,ev0009300,1961,Nominee,Top 10 Film Award,Best Film,Luchino Visconti,nm0899581
tt0054248,David di Donatello Awards,ev0000203,1961,Winner,David,Best Production (Migliore Produzione),Goffredo Lombardo,nm0518452
tt0054248,"Golden Globes, Italy",ev0001588,1961,Winner,Golden Globe,Best Film (Miglior Film),Luchino Visconti,nm0899581
tt0054248,"Golden Goblets, Italy",ev0002668,1961,Winner,Golden Goblet,Best Director (Migliore Regista),Luchino Visconti,nm0899581
tt0054248,Italian National Syndicate of Film Journalists,ev0000369,1961,Winner,Silver Ribbon,Best Director (Regista del Miglior Film),Luchino Visconti,nm0899581
tt0054248,Italian National Syndicate of Film Journalists,ev0000369,1961,Winner,Silver Ribbon,Best Screenplay (Migliore Sceneggiatura),Pasquale Festa Campanile,nm0275269
tt0054248,Italian National Syndicate of Film Journalists,ev0000369,1961,Winner,Silver Ribbon,Best Screenplay (Migliore Sceneggiatura),Suso Cecchi D'Amico,nm0147599
tt0054248,Italian National Syndicate of Film Journalists,ev0000369,1961,Winner,Silver Ribbon,Best Screenplay (Migliore Sceneggiatura),Luchino Visconti,nm0899581
tt0054248,Italian National Syndicate of Film Journalists,ev0000369,1961,Winner,Silver Ribbon,Best Screenplay (Migliore Sceneggiatura),Enrico Medioli,nm0575804
tt0054248,Italian National Syndicate of Film Journalists,ev0000369,1961,Winner,Silver Ribbon,"Best Cinematography, B/W (Migliore Fotografia in Bianco e Nero)",Giuseppe Rotunno,nm0005850
tt0054248,Italian National Syndicate of Film Journalists,ev0000369,1961,Nominee,Silver Ribbon,Best Producer (Migliore Produttore),Goffredo Lombardo,nm0518452
tt0054248,Italian National Syndicate of Film Journalists,ev0000369,1961,Nominee,Silver Ribbon,Best Original Story (Migliore Soggetto),Luchino Visconti,nm0899581
tt0054248,Italian National Syndicate of Film Journalists,ev0000369,1961,Nominee,Silver Ribbon,Best Original Story (Migliore Soggetto),Vasco Pratolini,nm0695390
tt0054248,Italian National Syndicate of Film Journalists,ev0000369,1961,Nominee,Silver Ribbon,Best Original Story (Migliore Soggetto),Suso Cecchi D'Amico,nm0147599
tt0054248,Italian National Syndicate of Film Journalists,ev0000369,1961,Nominee,Silver Ribbon,Best Supporting Actor (Migliore Attore Non Protagonista),Paolo Stoppa,nm0832375
tt0054248,Italian National Syndicate of Film Journalists,ev0000369,1961,Nominee,Silver Ribbon,Best Production Design (Migliore Scenografia),Mario Garbuglia,nm0305013
tt0054248,Italian National Syndicate of Film Journalists,ev0000369,1961,Nominee,Silver Ribbon,Best Costume Design (Migliori Costumi),Piero Tosi,nm0869200
tt0054248,Sant Jordi Awards,ev0000988,1962,Winner,Sant Jordi,Best Foreign Actress (Mejor Actriz Extranjera),Annie Girardot,nm0320760
tt0054248,Sant Jordi Awards,ev0000988,1962,Nominee,Sant Jordi,Best Film of the Year (Mejor Película del Año),Luchino Visconti,nm0899581
tt0054248,Venice Film Festival,ev0000681,1960,Winner,FIPRESCI Prize,,Luchino Visconti,nm0899581
tt0054248,Venice Film Festival,ev0000681,1960,Winner,Special Jury Prize,,Luchino Visconti,nm0899581
tt0054248,Venice Film Festival,ev0000681,1960,Nominee,Golden Lion,,Luchino Visconti,nm0899581
tt0055257,"Academy Awards, USA",ev0000003,1962,Nominee,Oscar,"Best Cinematography, Color",Charles Lang,nm0485702
tt0055257,"Directors Guild of America, USA",ev0000212,1962,Nominee,DGA Award,Outstanding Directorial Achievement in Motion Pictures,Marlon Brando,nm0000008
tt0055257,Laurel Awards,ev0000394,1962,Nominee,Golden Laurel,Top Action Drama,,
tt0055257,Laurel Awards,ev0000394,1962,Nominee,Golden Laurel,"Top Cinematography, Color",Charles Lang,nm0485704
tt0055257,"National Film Preservation Board, USA",ev0000468,2018,Winner,National Film Registry,National Film Preservation Board,,
tt0055257,San Sebastián International Film Festival,ev0000588,1961,Winner,Golden Seashell,,Marlon Brando,nm0000008
tt0055257,San Sebastián International Film Festival,ev0000588,1961,Winner,Prize San Sebastián,Best Actress,Pina Pellicer,nm0671186
tt0056444,Blue Ribbon Awards,ev0001006,1963,Winner,Blue Ribbon Award,Best Supporting Acress,Kyôko Kishida,nm0457219
tt0056444,Mainichi Film Concours,ev0001002,1963,Winner,Mainichi Film Concours,Best Supporting Actor,Eijirô Tôno,nm0867391
tt0056444,Mainichi Film Concours,ev0001002,1963,Winner,Mainichi Film Concours,Best Supporting Actress,Kyôko Kishida,nm0457219
tt0056444,Mainichi Film Concours,ev0001002,1963,Winner,Mainichi Film Concours,Best Cinematography,Yûharu Atsuta,nm0040916
tt0056512,David di Donatello Awards,ev0000203,1963,Winner,David,Best Actor (Migliore Attore),Vittorio Gassman,nm0002094
tt0056512,Italian National Syndicate of Film Journalists,ev0000369,1963,Winner,Silver Ribbon,Best Actor (Migliore Attore Protagonista),Vittorio Gassman,nm0002094
tt0056512,Italian National Syndicate of Film Journalists,ev0000369,1963,Nominee,Silver Ribbon,Best Original Story (Migliore Soggetto),Dino Risi,nm0728271
tt0056512,Mar del Plata Film Festival,ev0000419,1963,Winner,Best Director,,Dino Risi,nm0728271
tt0056512,Mar del Plata Film Festival,ev0000419,1963,Nominee,Best Film,International Competition,Dino Risi,nm0728271
tt0056512,Thessaloniki Film Festival,ev0000653,1963,Winner,Honorary Award,,Dino Risi,nm0728271
tt0057013,Venice Film Festival,ev0000681,1963,Nominee,Golden Lion,,Jacques Baratier,nm0053084
tt0057202,Leipzig DOK Festival,ev0000395,1963,Winner,Golden Dove,,Chris Marker,nm0003408
tt0057202,Venice Film Festival,ev0000681,1963,Winner,Best First Work,,Chris Marker,nm0003408
tt0058461,"Academy of Science Fiction, Fantasy & Horror Films, USA",ev0000004,2019,Nominee,Saturn Award,Best DVD/Blu-Ray Special Edition Release,,
tt0058461,Italian National Syndicate of Film Journalists,ev0000369,1965,Winner,Silver Ribbon,Best Score (Migliore Musica),Ennio Morricone,nm0001553
tt0058461,Italian National Syndicate of Film Journalists,ev0000369,1965,Nominee,Silver Ribbon,Best Supporting Actor (Migliore Attore Non Protagonista),Gian Maria Volontè,nm0002231
tt0058946,"Academy Awards, USA",ev0000003,1969,Nominee,Oscar,Best Director,Gillo Pontecorvo,nm0690597
tt0058946,"Academy Awards, USA",ev0000003,1969,Nominee,Oscar,"Best Writing, Story and Screenplay - Written Directly for the Screen",Franco Solinas,nm0758357
tt0058946,"Academy Awards, USA",ev0000003,1969,Nominee,Oscar,"Best Writing, Story and Screenplay - Written Directly for the Screen",Gillo Pontecorvo,nm0690597
tt0058946,"Academy Awards, USA",ev0000003,1967,Nominee,Oscar,Best Foreign Language Film,,
tt0058946,BAFTA Awards,ev0000123,1972,Winner,UN Award,,,
tt0058946,Faro Island Film Festival,ev0013532,1966,Nominee,Golden Train Award,Best Film,Gillo Pontecorvo,nm0690597
tt0058946,"Golden Goblets, Italy",ev0002668,1967,Winner,Golden Goblet,Best Director (Migliore Regista),Gillo Pontecorvo,nm0690597
tt0058946,Italian National Syndicate of Film Journalists,ev0000369,1967,Winner,Silver Ribbon,Best Director (Regista del Miglior Film),Gillo Pontecorvo,nm0690597
tt0058946,Italian National Syndicate of Film Journalists,ev0000369,1967,Winner,Silver Ribbon,Best Producer (Migliore Produttore),Antonio Musu,nm0616026
tt0058946,Italian National Syndicate of Film Journalists,ev0000369,1967,Winner,Silver Ribbon,"Best Cinematography, B/W (Migliore Fotografia in Bianco e Nero)",Marcello Gatti,nm0309800
tt0058946,Italian National Syndicate of Film Journalists,ev0000369,1967,Nominee,Silver Ribbon,Best Screenplay (Migliore Sceneggiatura),Franco Solinas,nm0758357
tt0058946,Italian National Syndicate of Film Journalists,ev0000369,1967,Nominee,Silver Ribbon,Best Score (Migliore Musica),Gillo Pontecorvo,nm0690597
tt0058946,Italian National Syndicate of Film Journalists,ev0000369,1967,Nominee,Silver Ribbon,Best Production Design (Migliore Scenografia),Sergio Canevari,nm0133917
tt0058946,Kinema Junpo Awards,ev0001001,1968,Winner,Kinema Junpo Award,Best Foreign Language Film,Gillo Pontecorvo,nm0690597
tt0058946,"National Society of Film Critics Awards, USA",ev0000471,1968,Nominee,NSFC Award,Best Supporting Actor,Jean Martin,nm0552483
tt0058946,New York Film Critics Circle Awards,ev0000484,1967,Nominee,NYFCC Award,Best Foreign Language Film,,
tt0058946,Venice Film Festival,ev0000681,1966,Winner,Award of the City of Venice,,Gillo Pontecorvo,nm0690597
tt0058946,Venice Film Festival,ev0000681,1966,Winner,FIPRESCI Prize,,Gillo Pontecorvo,nm0690597
tt0058946,Venice Film Festival,ev0000681,1966,Winner,Golden Lion,,Gillo Pontecorvo,nm0690597
tt0059776,Cannes Film Festival,ev0000147,1966,Nominee,Palme d'Or,,Miklós Jancsó,nm0417352
tt0059776,Faro Island Film Festival,ev0013532,1966,Nominee,Golden Train Award,Best Film,Miklós Jancsó,nm0417352
tt0059776,"National Society of Film Critics Awards, USA",ev0000471,1970,Nominee,NSFC Award,Best Director,Miklós Jancsó,nm0417352
tt0059792,Rondo Hatton Classic Horror Awards,ev0003197,2014,Nominee,Rondo Statuette,BEST COMMENTARY,Tim Lucas,nm1087203
tt0059803,Mexican Cinema Journalists,ev0000433,1967,Winner,Silver Goddess,Best Film (Mejor Película),,
tt0059894,"Academy Awards, USA",ev0000003,1967,Winner,Oscar,"Best Documentary, Features",Peter Watkins,nm0914386
tt0059894,BAFTA Awards,ev0000123,1967,Winner,BAFTA Film Award,Best Short Film,Peter Watkins,nm0914386
tt0059894,BAFTA Awards,ev0000123,1967,Winner,UN Award,,Peter Watkins,nm0914386
tt0059894,Bilbao International Festival of Documentary and Short Films,ev0000099,1967,Winner,Golden Mikeldi,,Peter Watkins,nm0914386
tt0059894,Venice Film Festival,ev0000681,1966,Winner,Special Prize,,Peter Watkins,nm0914386
tt0060176,"Academy Awards, USA",ev0000003,1967,Nominee,Oscar,Best Director,Michelangelo Antonioni,nm0000774
tt0060176,"Academy Awards, USA",ev0000003,1967,Nominee,Oscar,"Best Writing, Story and Screenplay - Written Directly for the Screen",Michelangelo Antonioni,nm0000774
tt0060176,"Academy Awards, USA",ev0000003,1967,Nominee,Oscar,"Best Writing, Story and Screenplay - Written Directly for the Screen",Tonino Guerra,nm0346096
tt0060176,"Academy Awards, USA",ev0000003,1967,Nominee,Oscar,"Best Writing, Story and Screenplay - Written Directly for the Screen",Edward Bond,nm0093927
tt0060176,"Golden Globes, USA",ev0000292,1967,Nominee,Golden Globe,Best English-Language Foreign Film,,
tt0060176,BAFTA Awards,ev0000123,1968,Nominee,BAFTA Film Award,Best British Art Direction (Colour),Assheton Gorton,nm0331378
tt0060176,BAFTA Awards,ev0000123,1968,Nominee,BAFTA Film Award,Best British Cinematography (Colour),Carlo Di Palma,nm0005688
tt0060176,BAFTA Awards,ev0000123,1968,Nominee,BAFTA Film Award,Best British Film,Michelangelo Antonioni,nm0000774
tt0060176,Cannes Film Festival,ev0000147,1967,Winner,Palme d'Or,,Michelangelo Antonioni,nm0000774
tt0060176,Faro Island Film Festival,ev0013532,1966,Winner,Golden Train Award,Grand Jury Prize,Michelangelo Antonioni,nm0000774
tt0060176,Faro Island Film Festival,ev0013532,1966,Nominee,Audience Award,Best Film,Michelangelo Antonioni,nm0000774
tt0060176,Faro Island Film Festival,ev0013532,1966,Nominee,Golden Train Award,Best Film,Michelangelo Antonioni,nm0000774
tt0060176,French Syndicate of Cinema Critics,ev0000263,1968,Winner,Critics Award,Best Foreign Film,Michelangelo Antonioni,nm0000774
tt0060176,Italian National Syndicate of Film Journalists,ev0000369,1968,Winner,Silver Ribbon,Best Foreign Director (Regista del Miglior Film Straniero),Michelangelo Antonioni,nm0000774
tt0060176,Kansas City Film Critics Circle Awards,ev0000383,1967,Winner,KCFCC Award,Best Director,Michelangelo Antonioni,nm0000774
tt0060176,Laurel Awards,ev0000394,1967,Winner,Golden Laurel,Sleeper of the Year,,
tt0060176,"National Society of Film Critics Awards, USA",ev0000471,1967,Winner,NSFC Award,Best Film,,
tt0060176,"National Society of Film Critics Awards, USA",ev0000471,1967,Winner,NSFC Award,Best Director,Michelangelo Antonioni,nm0000774
tt0060176,New York Film Critics Circle Awards,ev0000484,1966,Nominee,NYFCC Award,Best Film,,
tt0060176,New York Film Critics Circle Awards,ev0000484,1966,Nominee,NYFCC Award,Best Director,Michelangelo Antonioni,nm0000774
tt0060176,Turkish Film Critics Association (SIYAD) Awards,ev0002419,1972,Nominee,SIYAD Award,Best Foreign Film,,
tt0060371,"National Film Preservation Board, USA",ev0000468,2002,Winner,National Film Registry,,,
tt0060675,Berlin International Film Festival,ev0000091,1966,Winner,Interfilm Award - Honorable Mention,,Jean-Luc Godard,nm0000419
tt0060675,Berlin International Film Festival,ev0000091,1966,Winner,Silver Berlin Bear,Best Actor,Jean-Pierre Léaud,nm0529543
tt0060675,Berlin International Film Festival,ev0000091,1966,Winner,Youth Film Award,Best Feature Film Suitable for Young People,Jean-Luc Godard,nm0000419
tt0060675,Berlin International Film Festival,ev0000091,1966,Nominee,Golden Berlin Bear,,Jean-Luc Godard,nm0000419
tt0060675,Cahiers du Cinéma,ev0009300,1966,Nominee,Top 10 Film Award,Best Film,Jean-Luc Godard,nm0000419
tt0060675,Faro Island Film Festival,ev0013532,1966,Nominee,Audience Award,Best Actor,Jean-Pierre Léaud,nm0529543
tt0060675,Faro Island Film Festival,ev0013532,1966,Nominee,Golden Train Award,Best Film,Jean-Luc Godard,nm0000419
tt0060908,Faro Island Film Festival,ev0013532,1966,Winner,FIPRESCI Prize,Nobody Cares Competition,Philippe de Broca,nm0003606
tt0060908,Faro Island Film Festival,ev0013532,1966,Nominee,Golden Moon Award,Best Film,Philippe de Broca,nm0003606
tt0061395,BAFTA Awards,ev0000123,1969,Nominee,BAFTA Film Award,Best Actress,Catherine Deneuve,nm0000366
tt0061395,Bodil Awards,ev0000107,1968,Winner,Bodil,Best European Film (Bedste europæiske film),Luis Buñuel,nm0000320
tt0061395,Cahiers du Cinéma,ev0009300,1967,Nominee,Top 10 Film Award,Best Film,Luis Buñuel,nm0000320
tt0061395,Faro Island Film Festival,ev0013532,1967,Winner,Audience Award,Best Actress,Catherine Deneuve,nm0000366
tt0061395,Faro Island Film Festival,ev0013532,1967,Nominee,Audience Award,Best Film,Luis Buñuel,nm0000320
tt0061395,Faro Island Film Festival,ev0013532,1967,Nominee,Golden Train Award,Best Film,Luis Buñuel,nm0000320
tt0061395,French Syndicate of Cinema Critics,ev0000263,1968,Winner,Critics Award,Best Film,Luis Buñuel,nm0000320
tt0061395,"National Society of Film Critics Awards, USA",ev0000471,1969,Nominee,NSFC Award,Best Supporting Actress,Geneviève Page,nm0656180
tt0061395,New York Film Critics Circle Awards,ev0000484,1968,Nominee,NYFCC Award,Best Foreign Language Film,,
tt0061395,Online Film & Television Association,ev0002704,2007,Winner,OFTA Film Hall of Fame,Motion Picture,,
tt0061395,Turkish Film Critics Association (SIYAD) Awards,ev0002419,1979,Nominee,SIYAD Award,Best Foreign Film,,
tt0061395,Venice Film Festival,ev0000681,1967,Winner,Golden Lion,,Luis Buñuel,nm0000320
tt0061395,Venice Film Festival,ev0000681,1967,Winner,Pasinetti Award,Competition,Luis Buñuel,nm0000320
tt0062144,"National Film Preservation Board, USA",ev0000468,2015,Winner,National Film Registry,National Film Preservation Board,,
tt0062271,"Golden Globes, USA",ev0000292,1967,Nominee,Golden Globe,Best Foreign-Language Foreign Film,,
tt0062271,Cannes Film Festival,ev0000147,1966,Winner,Palme d'Or,,Pietro Germi,nm0314584
tt0062271,David di Donatello Awards,ev0000203,1966,Winner,David,Best Production (Migliore Produzione),Robert Haggiag,nm0353663
tt0062271,David di Donatello Awards,ev0000203,1966,Winner,David,Best Production (Migliore Produzione),Pietro Germi,nm0314584
tt0062271,David di Donatello Awards,ev0000203,1966,Winner,David,Best Director (Migliore Regista),Pietro Germi,nm0314584
tt0062271,Faro Island Film Festival,ev0013532,1966,Nominee,Golden Moon Award,Best Film,Pietro Germi,nm0314584
tt0062271,"Golden Globes, Italy",ev0001588,1967,Winner,Golden Globe,Best Film (Miglior Film),Pietro Germi,nm0314584
tt0062271,Italian National Syndicate of Film Journalists,ev0000369,1967,Winner,Silver Ribbon,Best Screenplay (Migliore Sceneggiatura),Furio Scarpelli,nm0769249
tt0062271,Italian National Syndicate of Film Journalists,ev0000369,1967,Winner,Silver Ribbon,Best Screenplay (Migliore Sceneggiatura),Agenore Incrocci,nm0408488
tt0062271,Italian National Syndicate of Film Journalists,ev0000369,1967,Winner,Silver Ribbon,Best Screenplay (Migliore Sceneggiatura),Pietro Germi,nm0314584
tt0062271,Italian National Syndicate of Film Journalists,ev0000369,1967,Winner,Silver Ribbon,Best Screenplay (Migliore Sceneggiatura),Luciano Vincenzoni,nm0898812
tt0062271,Italian National Syndicate of Film Journalists,ev0000369,1967,Winner,Silver Ribbon,Best Supporting Actor (Migliore Attore Non Protagonista),Gastone Moschin,nm0608311
tt0062271,Italian National Syndicate of Film Journalists,ev0000369,1967,Winner,Silver Ribbon,Best Supporting Actress (Migliore Attrice Non Protagonista),Olga Villi,nm0898352
tt0062271,Italian National Syndicate of Film Journalists,ev0000369,1967,Nominee,Silver Ribbon,Best Original Story (Migliore Soggetto),Pietro Germi,nm0314584
tt0062271,Italian National Syndicate of Film Journalists,ev0000369,1967,Nominee,Silver Ribbon,Best Original Story (Migliore Soggetto),Luciano Vincenzoni,nm0898812
tt0062271,Turkish Film Critics Association (SIYAD) Awards,ev0002419,1967,Nominee,SIYAD Award,Best Foreign Film,,
tt0062277,"Academy Awards, USA",ev0000003,1968,Nominee,Oscar,Best Foreign Language Film,,
tt0062277,"Golden Globes, USA",ev0000292,1969,Nominee,Golden Globe,Best Foreign-Language Foreign Film,,
tt0062277,Cannes Film Festival,ev0000147,1967,Winner,FIPRESCI Prize,,Aleksandar Petrovic,nm0678249
tt0062277,Cannes Film Festival,ev0000147,1967,Winner,Grand Prize of the Jury,,Aleksandar Petrovic,nm0678249
tt0062277,Cannes Film Festival,ev0000147,1967,Nominee,Palme d'Or,,Aleksandar Petrovic,nm0678249
tt0062277,Filmski Susreti,ev0005926,1967,Winner,Car Konstantin Award,Best Actor,Bekim Fehmiu,nm0270443
tt0062277,Pula Film Festival of Yugoslavian Films,ev0000555,1967,Winner,Golden Arena,Best Director,Aleksandar Petrovic,nm0678249
tt0062277,Pula Film Festival of Yugoslavian Films,ev0000555,1967,Winner,Golden Arena,Best Film,Aleksandar Petrovic,nm0678249
tt0062277,Pula Film Festival of Yugoslavian Films,ev0000555,1967,Winner,Golden Arena,Best Actor,Velimir 'Bata' Zivojinovic,nm0957372
tt0062277,Pula Film Festival of Yugoslavian Films,ev0000555,1967,Winner,Silver Arena,Best Actor,Bekim Fehmiu,nm0270443
tt0062277,Thessaloniki Film Festival,ev0000653,1968,Nominee,Honorary Award,,Aleksandar Petrovic,nm0678249
tt0062277,Turkish Film Critics Association (SIYAD) Awards,ev0002419,1970,Nominee,SIYAD Award,Best Foreign Film,,
tt0062285,Locarno International Film Festival,ev0000400,1970,Winner,Golden Leopard,,Med Hondo,nm0393124
tt0062374,"Cinema Eye Honors Awards, US",ev0001823,2016,Winner,Cinema Eye Honors Award,The Influentials,Frederick Wiseman,nm0936464
tt0062374,"Cinema Eye Honors Awards, US",ev0001823,2015,Winner,Cinema Eye Honors Award,The Influentials,Frederick Wiseman,nm0936464
tt0062374,"Cinema Eye Honors Awards, US",ev0001823,2014,Winner,Cinema Eye Honors Award,The Influentials,Frederick Wiseman,nm0936464
tt0062374,"Cinema Eye Honors Awards, US",ev0001823,2012,Winner,Cinema Eye Legacy Award,,Frederick Wiseman,nm0936464
tt0062374,Mannheim-Heidelberg International Filmfestival,ev0000358,1967,Winner,Mannheim Film Ducat,,Frederick Wiseman,nm0936464
tt0063286,Venice Film Festival,ev0000681,1968,Nominee,Golden Lion,,Robert Frank,nm0291071
